days,likes,shares,reads,week_day
17/08/18,2395,0,0,4
17/07/19,1851,2089,0,5
17/07/18,1386,0,0,6
17/06/19,1487,1421,0,7
17/06/18,1527,0,0,1
17/05/19,1368,1413,0,2
17/04/19,1068,1503,0,3
17/03/19,1803,1195,0,4
17/02/19,2494,0,0,5
17/01/19,1760,0,0,6
16/12/18,1338,0,0,7
16/11/18,1928,0,0,1
16/10/18,1892,0,0,2
16/09/18,4128,0,0,3
16/08/19,3633,618,46734,4
16/08/18,1662,0,0,5
16/07/19,1554,1929,0,6
16/07/18,1414,0,0,7
16/06/19,1410,1800,0,1
16/06/18,1760,0,0,2
16/05/19,1550,1607,0,3
16/04/19,1050,1427,0,4
16/03/19,1847,342,0,5
16/02/19,1916,0,0,6
16/01/19,1577,0,0,7
15/12/18,1116,0,0,1
15/11/18,1453,0,0,2
15/10/18,1593,0,0,3
15/09/19,1786,423,29312,4
15/09/18,2786,0,0,5
15/08/19,2544,687,0,6
15/08/18,2301,0,0,7
15/07/19,1584,1837,0,1
15/07/18,1320,0,0,2
15/06/19,1696,1837,0,3
15/06/18,1680,0,0,4
15/05/19,1698,1627,0,5
15/04/19,1056,1347,0,6
15/03/19,1706,24,0,7
15/02/19,2083,0,0,1
15/01/19,1553,0,0,2
14/12/18,1254,0,0,3
14/11/18,1821,0,0,4
14/10/18,2727,0,0,5
14/09/19,3812,869,58318,6
14/09/18,3119,0,0,7
14/08/19,2998,752,0,1
14/08/18,1793,0,0,2
14/07/19,1247,1667,0,3
14/07/18,1471,0,0,4
14/06/19,2077,2062,0,5
14/06/18,1839,0,0,6
14/05/19,1498,1754,0,7
14/04/19,1553,1699,0,1
14/03/19,1785,0,0,2
14/02/19,1821,0,0,3
14/01/19,1590,0,0,4
13/12/18,1659,0,0,5
13/11/18,2102,0,0,6
13/10/18,2030,0,0,7
13/09/19,4340,871,55250,1
13/09/18,2507,0,0,2
13/08/19,3637,847,0,3
13/08/18,1956,0,0,4
13/07/19,1766,1941,0,5
13/07/18,1541,0,0,6
13/06/19,1944,2221,0,7
13/06/18,2048,0,0,1
13/05/19,1427,1236,0,2
13/04/19,1541,1593,0,3
13/03/19,1830,0,0,4
13/02/19,2330,0,0,5
13/01/19,1801,0,0,6
12/12/18,1627,0,0,7
12/11/18,2324,0,0,1
12/10/18,2217,0,0,2
12/09/19,3960,790,50387,3
12/09/18,2438,0,0,4
12/08/19,3357,857,0,5
12/08/18,1806,0,0,6
12/07/19,1704,2063,0,7
12/07/18,1375,0,0,1
12/06/19,1754,1832,0,2
12/06/18,2084,0,0,3
12/05/19,1333,1619,0,4
12/04/19,1222,1606,0,5
12/03/19,2043,1,0,6
12/02/19,2373,0,0,7
12/01/19,1375,0,0,1
11/12/18,1441,0,0,2
11/11/18,1990,0,0,3
11/10/18,2257,0,0,4
11/09/19,3265,710,47855,5
11/09/18,1991,0,0,6
11/08/19,3399,761,0,7
11/08/18,2008,0,0,1
11/07/19,1794,2098,0,2
11/07/18,1381,0,0,3
11/06/19,2423,1934,0,4
11/06/18,2237,0,0,5
11/05/19,1520,1490,0,6
11/04/19,2028,1934,0,7
11/03/19,2256,0,0,1
11/02/19,2277,0,0,2
11/01/19,1755,0,0,3
10/12/18,1740,0,0,4
10/11/18,2227,0,0,5
10/10/18,2946,0,0,6
10/09/19,4256,776,62165,7
10/09/18,2288,0,0,1
10/08/19,2549,647,0,2
10/08/18,1918,0,0,3
10/07/19,1488,1715,0,4
10/07/18,1385,0,0,5
10/06/19,1805,2017,0,6
10/06/18,2239,0,0,7
10/05/19,1811,1938,0,1
10/04/19,1359,1553,0,2
10/03/19,1866,0,0,3
10/02/19,2574,0,0,4
10/01/19,2164,0,0,5
09/12/18,1283,0,0,6
09/11/18,2167,0,0,7
09/10/18,2708,0,0,1
09/09/19,4300,803,59418,2
09/09/18,2429,0,0,3
09/08/19,2661,798,0,4
09/08/18,2077,0,0,5
09/07/19,1820,1702,0,6
09/07/18,1557,0,0,7
09/06/19,1864,1910,0,1
09/06/18,2846,0,0,2
09/05/19,1746,1563,0,3
09/04/19,1121,1632,0,4
09/03/19,2093,0,0,5
09/02/19,2255,0,0,6
09/01/19,1943,0,0,7
08/12/18,1355,0,0,1
08/11/18,1970,0,0,2
08/10/18,2863,0,0,3
08/09/19,5050,852,61233,4
08/09/18,2654,0,0,5
08/08/19,2639,797,0,6
08/08/18,2035,0,0,7
08/07/19,1673,1680,0,1
08/07/18,1627,0,0,2
08/06/19,1758,1951,0,3
08/06/18,2455,0,0,4
08/05/19,1217,1421,0,5
08/04/19,1208,1632,0,6
08/03/19,2008,0,0,7
08/02/19,1765,0,0,1
08/01/19,1486,0,0,2
07/12/18,1373,0,0,3
07/11/18,1370,0,0,4
07/10/18,3517,0,0,5
07/09/19,4147,653,51739,6
07/09/18,1938,0,0,7
07/08/19,2732,812,0,1
07/08/18,1802,0,0,2
07/07/19,1793,1935,0,3
07/07/18,1336,0,0,4
07/06/19,1724,1683,0,5
07/06/18,2241,0,0,6
07/05/19,1587,1373,0,7
07/04/19,1599,1652,0,1
07/03/19,2022,0,0,2
07/02/19,2198,0,0,3
07/01/19,1857,0,0,4
06/12/18,1939,0,0,5
06/11/18,1449,0,0,6
06/10/18,3374,0,0,7
06/09/19,4352,684,51625,1
06/09/18,2226,0,0,2
06/08/19,2613,871,0,3
06/08/18,1518,0,0,4
06/07/19,1585,1861,0,5
06/07/18,1268,0,0,6
06/06/19,1485,1479,0,7
06/06/18,1916,0,0,1
06/05/19,1417,1407,0,2
06/04/19,1443,1570,0,3
06/03/19,1934,0,0,4
06/02/19,1680,0,0,5
06/01/19,1600,0,0,6
05/12/18,1728,0,0,7
05/11/18,1684,0,0,1
05/10/18,2820,0,0,2
05/09/19,4097,630,48272,3
05/09/18,2163,0,0,4
05/08/19,2114,747,0,5
05/08/18,1539,0,0,6
05/07/19,1372,1418,0,7
05/07/18,1300,0,0,1
05/06/19,1470,1453,0,2
05/06/18,1519,0,0,3
