id,featured,format_name,lang,verified,views,shares,likes
171,1,poem,en,Verified,3,2,255
172,1,poem,en,Verified,4,3,470
173,1,140,en,Verified,3,4,340
174,1,bubble,en,Verified,9,4,549
175,1,140,en,Verified,7,6,431
176,1,rant,en,Verified,3,2,157
177,1,musing,en,Verified,1,2,281
178,1,140,en,Verified,2,2,195
179,1,140,en,Verified,8,3,309
180,1,140,en,Not Verified,3,2,446
181,1,rant,en,Verified,9,2,372
182,1,poem,en,Verified,6,2,311
183,1,140,en,Verified,9,2,715
184,1,140,en,Not Verified,1,1,287
185,1,poem,en,Verified,1,2,206
186,1,140,en,Verified,12,1,353
187,1,140,en,Verified,1,1,309
188,1,rant,en,Verified,12,2,560
189,1,open letter,en,Verified,8,4,387
190,1,140,en,Verified,3,1,315
191,1,140,en,Verified,5,2,324
192,1,poem,en,Verified,8,3,458
193,1,140,en,Verified,4,1,268
194,1,short story,en,Verified,1,1,141
195,1,musing,en,Verified,1,1,277
196,1,open letter,en,Verified,6,2,303
197,1,140,en,Verified,2,3,355
198,1,140,en,Verified,7,1,239
199,1,140,en,Verified,6,1,253
200,1,140,en,Verified,6,1,292
201,1,140,en,Verified,3,3,183
202,1,open letter,en,Verified,1,2,145
203,1,140,en,Not Verified,4,3,658
204,1,140,en,Verified,8,1,589
205,1,140,en,Verified,3,2,272
206,1,musing,en,Verified,1,2,302
207,1,short story,en,Verified,1,4,287
208,1,poem,en,Verified,2,1,116
209,1,140,en,Verified,8,2,252
210,1,140,en,Verified,4,2,345
211,1,open letter,en,Verified,3,2,257
212,1,open letter,en,Verified,2,2,235
213,1,poem,en,Verified,3,3,100
214,1,open letter,en,Verified,4,2,352
215,1,musing,en,Verified,14,1,174
216,1,short story,en,Verified,6,2,300
217,1,open letter,en,Verified,2,3,288
218,1,musing,en,Verified,1,5,484
219,1,open letter,en,Verified,10,6,502
220,1,open letter,en,Verified,7,2,444
221,1,musing,en,Verified,2,2,287
222,1,open letter,en,Verified,3,2,445
223,1,poem,en,Verified,3,1,164
224,1,musing,en,Verified,5,2,501
225,1,musing,en,Verified,18,2,607
226,1,bubble,en,Verified,1,6,450
227,1,bubble,en,Verified,5,6,294
228,1,open letter,en,Verified,4,8,329
229,1,poem,en,Verified,5,1,417
230,1,musing,en,Verified,7,7,339
231,1,poem,en,Verified,7,3,184
232,1,open letter,en,Verified,8,2,449
233,1,open letter,en,Verified,1,2,191
234,1,bubble,en,Verified,2,9,224
235,1,poem,en,Verified,4,4,250
236,1,musing,en,Verified,4,2,427
237,1,musing,en,Verified,3,1,318
238,1,open letter,en,Verified,3,2,268
239,1,poem,en,Verified,13,2,241
240,1,open letter,en,Verified,4,6,255
241,1,musing,en,Verified,11,2,414
242,1,musing,en,Verified,3,6,400
243,1,musing,en,Verified,15,3,294
244,1,open letter,en,Verified,3,3,11
245,1,140,en,Verified,18,5,66
246,0,open letter,en,Not Verified,10,2,3
247,1,poem,en,Verified,3,3,31
248,1,short story,en,Verified,5,6,14
249,1,short story,en,Verified,2,5,40
250,1,short story,en,Verified,1,2,54
251,1,open letter,en,Verified,2,1,27
252,1,poem,en,Verified,3,3,46
253,1,140,en,Verified,2,2,55
254,1,poem,en,Verified,5,2,57
255,1,poem,en,Verified,1,2,36
256,1,short story,en,Verified,2,1,42
257,1,140,en,Verified,2,2,71
258,0,thought,en,Verified,1,2,22
259,0,thought,en,Verified,1,2,17
260,1,musing,en,Verified,1,1,70
261,1,musing,en,Verified,4,2,45
262,1,musing,en,Verified,2,3,54
263,1,open letter,en,Verified,3,2,72
264,1,open letter,en,Verified,2,2,89
265,1,open letter,en,Verified,1,2,92
266,1,open letter,en,Verified,3,3,28
267,1,open letter,en,Verified,1,1,34
268,1,Open Letter,en,Verified,8,2,52
269,1,poem,en,Verified,2,1,59
270,4,thought,en,Verified,8,2,11
271,0,140,en,Not Verified,5,1,4
272,0,short story,en,Not Verified,1,8,5
273,0,musing,en,Not Verified,3,2,16
274,0,thought,en,Verified,3,2,19
275,0,thought,en,Not Verified,1,1,4
276,0,thought,en,Not Verified,3,1,4
277,0,140,en,Not Verified,6,1,4
278,0,thought,en,Verified,9,4,9
279,1,thought,en,Verified,15,2,115
280,1,rant,en,Verified,5,2,62
281,0,thought,en,Verified,9,2,9
282,1,bubble,en,Verified,27,4,39
283,1,bubble,en,Verified,33,1,68
284,1,bubble,en,Verified,8,1,64
285,0,thought,en,Verified,8,2,68
286,0,diary,en,Verified,3,1,3
287,0,open letter,en,Not Verified,4,1,4
288,0,140,en,Not Verified,7,2,1
289,0,poem,en,Not Verified,2,1,1
290,0,short story,en,Not Verified,6,1,1
291,0,thought,en,Not Verified,4,1,2
