"days","likes","shares","reads"
"17/08/2018",2395,0,0
"17/07/2019",1851,2089,0
"17/07/2018",1386,0,0
"17/06/2019",1487,1421,0
"17/06/2018",1527,0,0
"17/05/2019",1368,1413,0
"17/04/2019",1068,1503,0
"17/03/2019",1803,1195,0
"17/02/2019",2494,0,0
"17/01/2019",1760,0,0
"16/12/2018",1338,0,0
"16/11/2018",1928,0,0
"16/10/2018",1892,0,0
"16/09/2018",4128,0,0
"16/08/2019",3633,618,46734
"16/08/2018",1662,0,0
"16/07/2019",1554,1929,0
"16/07/2018",1414,0,0
"16/06/2019",1410,1800,0
"16/06/2018",1760,0,0
"16/05/2019",1550,1607,0
"16/04/2019",1050,1427,0
"16/03/2019",1847,342,0
"16/02/2019",1916,0,0
"16/01/2019",1577,0,0
"15/12/2018",1116,0,0
"15/11/2018",1453,0,0
"15/10/2018",1593,0,0
"15/09/2019",1786,423,29312
"15/09/2018",2786,0,0
"15/08/2019",2544,687,0
"15/08/2018",2301,0,0
"15/07/2019",1584,1837,0
"15/07/2018",1320,0,0
"15/06/2019",1696,1837,0
"15/06/2018",1680,0,0
"15/05/2019",1698,1627,0
"15/04/2019",1056,1347,0
"15/03/2019",1706,24,0
"15/02/2019",2083,0,0
"15/01/2019",1553,0,0
"14/12/2018",1254,0,0
"14/11/2018",1821,0,0
"14/10/2018",2727,0,0
"14/09/2019",3812,869,58318
"14/09/2018",3119,0,0
"14/08/2019",2998,752,0
"14/08/2018",1793,0,0
"14/07/2019",1247,1667,0
"14/07/2018",1471,0,0
"14/06/2019",2077,2062,0
"14/06/2018",1839,0,0
"14/05/2019",1498,1754,0
"14/04/2019",1553,1699,0
"14/03/2019",1785,0,0
"14/02/2019",1821,0,0
"14/01/2019",1590,0,0
"13/12/2018",1659,0,0
"13/11/2018",2102,0,0
"13/10/2018",2030,0,0
"13/09/2019",4340,871,55250
"13/09/2018",2507,0,0
"13/08/2019",3637,847,0
"13/08/2018",1956,0,0
"13/07/2019",1766,1941,0
"13/07/2018",1541,0,0
"13/06/2019",1944,2221,0
"13/06/2018",2048,0,0
"13/05/2019",1427,1236,0
"13/04/2019",1541,1593,0
